Title,Subtitle,Region,Currency,"Base shipping price","Additional product shipping price (Tier 1)","Additional product limit (Tier 1)","Additional product shipping price (Tier 2)","Additional product limit (Tier 2)","Additional product shipping price (Tier 3)","Additional product limit (Tier 3)","Additional product shipping price (Tier 4)","Additional product limit (Tier 4)","Additional product shipping price (Tier 5)","Additional product limit (Tier 5)"
Shirts,"T-shirts, tank tops, 3/4 sleeve shirts, long sleeve shirts, polo shirts, crop tops",USA,USD,4.95,2.2,8,1.15,23,1,48,0.75,83,0.5,
Shirts,"T-shirts, tank tops, 3/4 sleeve shirts, long sleeve shirts, polo shirts, crop tops",Europe,USD,4.99,1.45,8,1,23,0.75,48,0.5,83,0.35,
Shirts,"T-shirts, tank tops, 3/4 sleeve shirts, long sleeve shirts, polo shirts, crop tops",UK,USD,4.79,1.5,8,1,23,0.75,48,0.5,83,0.35,
Shirts,"T-shirts, tank tops, 3/4 sleeve shirts, long sleeve shirts, polo shirts, crop tops","EFTA States",USD,10.39,1.1,8,1,23,0.8,48,0.6,83,0.4,
Shirts,"T-shirts, tank tops, 3/4 sleeve shirts, long sleeve shirts, polo shirts, crop tops",Canada,USD,8.59,1.95,8,1.4,23,1.2,48,1,83,0.8,
Shirts,"T-shirts, tank tops, 3/4 sleeve shirts, long sleeve shirts, polo shirts, crop tops","Australia / New Zealand",USD,7.99,1.4,8,1,23,0.6,48,0.6,83,0.5,
Shirts,"T-shirts, tank tops, 3/4 sleeve shirts, long sleeve shirts, polo shirts, crop tops",Japan,USD,4.95,2,8,1.3,23,1.1,48,0.9,83,0.7,
Shirts,"T-shirts, tank tops, 3/4 sleeve shirts, long sleeve shirts, polo shirts, crop tops",Brazil,USD,12.49,6,8,2.5,23,2,48,1.5,83,1,
Shirts,"T-shirts, tank tops, 3/4 sleeve shirts, long sleeve shirts, polo shirts, crop tops",Worldwide,USD,12.49,6,8,2.5,23,2,48,1.5,83,1,
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants",USA,USD,8.79,2.5,13,1.75,23,1.5,48,1.3,73,1.2,
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants",Europe,USD,7.29,2.4,13,2,23,1.5,48,1.2,73,1,
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants",UK,USD,7.29,2.4,13,2,23,1.5,48,1.2,73,1,
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","EFTA States",USD,11.39,2.2,13,2,23,1.7,48,1.3,73,1.1,
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants",Canada,USD,10.59,2.35,13,1.9,23,1.7,48,1.5,73,1.2,
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Australia / New Zealand",USD,12.49,2.25,,,,,,,,,
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants",Japan,USD,7.89,2.6,,,,,,,,,
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants",Brazil,USD,17.69,8,13,4.25,23,3.5,48,2.75,73,2,
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants",Worldwide,USD,17.69,8,13,4.25,23,3.5,48,2.75,73,2,
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Sherpa Jackets",USA,USD,13.49,4,,,,,,,,,
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Sherpa Jackets",Europe,USD,19.09,9.2,,,,,,,,,
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Sherpa Jackets",UK,USD,17.99,8.65,,,,,,,,,
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Sherpa Jackets","EFTA States",USD,15.59,6.35,,,,,,,,,
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Sherpa Jackets",Canada,USD,14.69,6.05,,,,,,,,,
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Sherpa Jackets","Australia / New Zealand",USD,37.59,18.25,,,,,,,,,
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Sherpa Jackets",Japan,USD,44.89,18,,,,,,,,,
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Sherpa Jackets",Brazil,USD,41.59,20,,,,,,,,,
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Sherpa Jackets",Worldwide,USD,41.59,20,,,,,,,,,
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Classic Fit Knitted Crew Neck Sweater, Knitted Cardigan, Women's Straight Bottom Knitted Sweater",USA,USD,11.89,5.75,,,,,,,,,
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Classic Fit Knitted Crew Neck Sweater, Knitted Cardigan, Women's Straight Bottom Knitted Sweater",Europe,USD,11.39,5.5,,,,,,,,,
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Classic Fit Knitted Crew Neck Sweater, Knitted Cardigan, Women's Straight Bottom Knitted Sweater",UK,USD,10.89,5.25,,,,,,,,,
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Classic Fit Knitted Crew Neck Sweater, Knitted Cardigan, Women's Straight Bottom Knitted Sweater","EFTA States",USD,17.69,9,,,,,,,,,
"Hoodies, sweatshirts, pullovers, jackets, sweatpants, joggers, pants","Classic Fit Knitted Crew Neck Sweater, Knitted Cardigan, Women's Straight Bottom Knitted Sweater",Canada,USD,10.89,5.25,,,,,,,,,
