"ID","Created Date","Updated Date","Owner","Item Number","Item Heading","Item Body","Tag Filters","LastRevised","GlobalSortOrder","Publish Date","Unpublish Date","Status"
"010e4a32-1f22-4757-8d72-43482f51a780",2025-11-10T11:50:01Z,2025-11-10T11:59:05Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","2)","🕝 Schedule Availability:","As submissions accumulate, we may need to defer your selection to a later date than expected. If our production schedule becomes full more than two months in advance, we may temporarily pause new submissions to relieve backlog. Every effort will be made to notify affected members, re-negotiate the submission, and/or substitute another comparable benefit.","[""POLICY"",""T3"",""T4""]","2025-11-10",45,2025-11-10T11:47:33Z,,"PUBLISHED"
"02896fb0-f8a1-4b4a-ab2f-c83979469319",2025-09-28T10:15:57Z,2025-09-30T04:04:01Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","12)","Third-Party Services","We integrate payment providers, fulfilment partners (e.g., Printful), analytics, and embeds. Their terms and privacy practices apply when you use those services.
We embed a Discord server widget that can display basic live server details such as who’s online (members’ display names, avatars, and online status), along with server name/icon and an invite/join action. This content is provided directly by Discord and may change based on Discord’s features and your Discord privacy settings. We don’t control the availability or data shown by Discord. Use of the widget is also governed by Discord’s terms and privacy policy.","[""TERMS""]","2025-09-28",12,,,"PUBLISHED"
"0594fc2d-e2b3-49ac-8427-9456eebf1381",2025-09-30T04:08:59Z,2025-09-30T04:19:41Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","8)","Google Privacy Policy","For information on how Google handles data, please review the Google Privacy Policy: (http://www.google.com/policies/privacy).
","[""PRIVACY""]","2025-09-30",27,2025-09-30T03:55:23Z,,"PUBLISHED"
"08ab35e5-c281-4f0b-8ad8-53814ac49be2",2025-09-28T10:19:10Z,2025-09-30T04:04:01Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","17)","Changes to These Terms","We may update these Terms by posting a notice on the site with a new “Last updated” date. Continued use constitutes acceptance.","[""TERMS""]","2025-09-28",17,,,"PUBLISHED"
"0adea8a6-ffd7-473d-a088-b85945742f6d",2025-09-28T10:41:45Z,2025-09-30T04:04:01Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","1)","Overview","This Privacy Policy explains how Third Railify™ (based in Ontario, Canada) collects, uses, and safeguards personal information in connection with our podcasts, community features, memberships, and store.
Third Railify™ and Just Gina™ are trademarks of Shawn and Gina, respectively.","[""PRIVACY""]","2025-09-28",20,,,"PUBLISHED"
"153bd5fe-79f5-4a8d-b9ba-504c29cfd2be",2025-09-28T11:16:33Z,2025-09-30T04:38:48Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","2)","Standards & Measures","We aim to meet WCAG 2.2 Level AA where feasible and continuously improve. Measures include:

● Clear page structure and headings
● Keyboard-navigable interfaces and focus order
● Alt text for informative images
● Sufficient color contrast
● Reduced motion preferences honored where possible
● Captions/transcripts for media where feasible
● Descriptive links and labels
● Error feedback and form labels

We use the platform’s accessibility tools and periodic audits to find and fix issues.","[""ACCESS""]","2025-09-28",40,2025-09-28T09:45:25Z,,"PUBLISHED"
"1fc26de3-5792-4265-94cc-6fc52f35de8e",2025-11-10T11:47:34Z,2025-11-10T11:58:58Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","1)","♻️ Substitutions:","When submitting battle opponents for our “Aboot Nothing” episodes, we reserve the right to deny or substitute your choice in cases where your submission may harm the show’s reputation (or that of its participants), is too obscure or nonviable for debate, or is otherwise deemed inappropriate. Every effort will be made to notify and re-negotiate any such submission, or to substitute it with another reasonably comparable benefit.","[""POLICY"",""T3"",""T4""]","2025-11-10",44,2025-11-10T11:47:33Z,,"PUBLISHED"
"26604ad3-d344-4255-8c7b-76f3077b52df",2025-11-10T11:50:05Z,2025-11-10T11:59:48Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","5)","🎀 ""Sponsor"" Attribution:","Members with Sponsor status may have their preferred display name featured in select show credits or on related digital acknowledgements. The exact format, frequency, and placement of these mentions are determined by production discretion and may vary. Members are responsible for submitting names that are accurate, family-safe, and appropriate for public display.","[""POLICY"",""T1"",""T2""]","2025-11-10",48,2025-11-10T11:47:33Z,,"PUBLISHED"
"2a386146-8beb-4bcd-b009-26327b3f040e",2025-09-28T10:01:22Z,2025-09-30T04:04:01Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","5)","Payments, Pricing & Taxes","We accept major payment methods supported by our platform and connected providers, which may include credit/debit cards and PayPal. Where available, in-person payments may be processed via Wix POS hardware/software, and online payments via Wix Payments or other connected providers. Availability depends on region and provider approval. 
Displayed prices may exclude taxes, duties, or shipping until checkout. You’re responsible for any applicable taxes/fees in your jurisdiction.","[""TERMS""]","2025-09-28",5,,,"PUBLISHED"
"2df7e9b5-3bcd-43ee-8fc1-81d36c1af8bc",2025-09-28T10:19:43Z,2025-09-30T04:04:01Z,"691d3d0b-d7ba-4662-87b1-50b53656a4d9","18)","Governing Law & Venue","These Terms are governed by the laws of the Province of Ontario, Canada, without regard to conflicts principles. Courts located in Ontario shall have exclusive jurisdiction.","[""TERMS""]","2025-09-28",18,,,"PUBLISHED"
